kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_steff
5880320,"K01060.04","CONFIRMED","CANDIDATE",8.19345065,138.99617,5.234,115.4,1.74,6021.00
6037187,"K01061.01","CONFIRMED","CANDIDATE",41.8059544,142.81919,6.057,434.4,2.02,5907.00
6147122,"K01062.01","FALSE POSITIVE","FALSE POSITIVE",15.45158184,142.21096,2.406,85.3,2.02,7839.00
8257407,"K01063.01","FALSE POSITIVE","FALSE POSITIVE",89.698168533,176.3060152,5.5418,273106,102.08,6214.00
4649305,"K00143.01","CANDIDATE","CANDIDATE",22.65117451,140.337593,3.6895,2250,7.62,6968.00
6307521,"K01126.02","FALSE POSITIVE","FALSE POSITIVE",475.91706,588.8926,22.86,967.3,28.22,5334.00
6359320,"K01127.01","CONFIRMED","CANDIDATE",5.32667299,357.12617,3.4045,611.4,2.26,5831.00
6359320,"K01127.02","CONFIRMED","CANDIDATE",8.1280933,358.68367,3.727,224.1,1.39,5831.00
3835670,"K00149.01","CONFIRMED","CANDIDATE",14.55730897,145.095012,7.7643,956.9,4.32,5774.00
6359320,"K01127.03","CANDIDATE","CANDIDATE",2.83668931,353.81531,3.031,166.1,1.19,5831.00
6362874,"K01128.01","CONFIRMED","CANDIDATE",0.974868896,133.076265,1.6191,197.6,1.16,5487.00
6272413,"K01129.01","CONFIRMED","CANDIDATE",4.89721006,133.39852,1.812,274.4,1.48,5093.00
3556220,"K01213.01","FALSE POSITIVE","FALSE POSITIVE",0.796722833,133.07985,2.4551,107.1,1.44,5959.00
3660924,"K01214.01","CONFIRMED","CANDIDATE",4.24153629,133.45522,2.971,188.1,1.44,5776.00
8030148,"K00155.01","CONFIRMED","CANDIDATE",5.660669429,137.416045,4.6483,737.8,3.24,5746.00
3939150,"K01215.01","CONFIRMED","CANDIDATE",17.32419108,142.09977,8.045,241.3,3.14,5968.00
3939150,"K01215.02","CONFIRMED","CANDIDATE",33.0063185,145.38821,7.118,278.1,3.13,5968.00
3839488,"K01216.01","CONFIRMED","CANDIDATE",11.13127159,134.36341,4.2372,211.2,2.06,5800.00
3542588,"K01217.01","FALSE POSITIVE","FALSE POSITIVE",3.47143963,133.74061,3.663,99.8,1.19,6341.00
10676923,"K01297.01","FALSE POSITIVE","FALSE POSITIVE",1.031096352,133.93938,2.781,265.4,2.36,6371.00
10604335,"K01298.01","CONFIRMED","CANDIDATE",11.00817635,143.22611,2.013,1462.5,2.15,4141.00
10604335,"K01298.02","CONFIRMED","FALSE POSITIVE",92.7495777,173.27975,5.506,1105.1,1.87,4141.00
10864656,"K01299.01","CONFIRMED","CANDIDATE",52.5008645,171.52114,14.9066,946.7,12.41,4976.00
10555375,"K00158.01","FALSE POSITIVE","FALSE POSITIVE",5.80181368,137.57807,4.119,269.6,4.52,6020.00
10975146,"K01300.01","CONFIRMED","CANDIDATE",0.63133171,133.94488,1.1487,434.5,1.2,4441.00
10538176,"K01301.01","CONFIRMED","CANDIDATE",12.69905011,184.9868,2.9899,797.4,2.62,5291.00
10724369,"K01302.01","CONFIRMED","CANDIDATE",55.6391882,187.55044,7.316,853,3.13,5949.00
10867062,"K01303.01","CANDIDATE","CANDIDATE",34.2966363,143.66728,19.718,696.6,3.29,5490.00
10744335,"K01304.01","CONFIRMED","CANDIDATE",4.59726613,136.47837,2.909,313,1.69,5999.00
10730034,"K01305.01","CONFIRMED","CANDIDATE",2.633852528,134.56431,2.0206,259.8,1.38,5114.00
